num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60,
1, 13566821, 13836182, 13885128, 13589640, 13548864, 13664504, 13630337, 13679837, 13663675, 13612097, 13449783, 13890678, 13909550, 13576165, 13605667, 13680638, 13622702, 13783124, 13708107, 13643246, 13645115, 13598587, 13582641, 13646057, 13480866, 13449961, 13700628, 13586849, 13598316, 13619986, 13627119, 13694930, 13626320, 13597264, 13629344, 13745273, 13760144, 13586359, 13635326, 13604325, 13699045, 13711962, 13573845, 13588635, 13721710, 13665001, 13747528, 13659672, 13624397, 13632446, 13518939, 13650974, 13594027, 13483266, 13506187, 13503673, 13481984, 13704579, 13548766, 13611916, 
2, 20011500, 20468306, 19797959, 20341133, 20535471, 20516008, 20151327, 20037188, 19972230, 19991091, 20067378, 20472218, 20406386, 20469408, 20634204, 20357545, 20105628, 19934225, 20016605, 19956709, 20171007, 20189971, 20346757, 20536826, 20112248, 19999022, 20178042, 20055668, 20463367, 20689539, 20684254, 20784089, 20093914, 20126912, 20372821, 20695146, 20656911, 20822386, 20699660, 20646495, 20541646, 20501389, 20679678, 20690298, 20701581, 20196720, 20717525, 20555258, 20355027, 20019644, 19928590, 20004963, 20004464, 20005041, 20174439, 20694976, 20496186, 20487183, 20761628, 20820567, 
3, 20183804, 21236917, 21199364, 20812337, 20618618, 20838984, 21308664, 21376728, 21542939, 21543652, 21524689, 21562324, 21603212, 21658694, 21668989, 21323383, 21447269, 21693369, 21622737, 21695483, 21665201, 21710415, 21604383, 21727150, 21730926, 21146036, 21051497, 21249565, 21126665, 21254178, 21092452, 21127218, 21266438, 21613376, 21504542, 21570061, 21383468, 21696679, 21594409, 21647618, 21270337, 21723867, 21405951, 21338003, 21080072, 21370930, 21507763, 21524946, 21841556, 21795003, 21519166, 21532171, 21350048, 21337209, 21172537, 21286325, 21167558, 21258087, 21668910, 21957271, 
4, 19519019, 19680659, 19534562, 19232179, 19834248, 19973957, 19995667, 20031148, 19988759, 19724786, 19374431, 19363281, 19384294, 19386466, 19238707, 19305962, 19199914, 19826274, 19888457, 19992557, 19488202, 19253200, 19440089, 19423392, 19306587, 19498792, 19462977, 19372785, 19765227, 19498466, 19866338, 19767574, 19829920, 19796729, 20252392, 19417415, 19970840, 19957015, 19983971, 19568347, 19875742, 19829649, 19553601, 19175303, 19247675, 19687357, 19662742, 19681447, 19658108, 19917544, 19705397, 19065080, 19192961, 19198467, 19174617, 19445443, 19170074, 19271720, 19182995, 19154704, 
5, 19155062, 19521361, 19777997, 19594640, 19615972, 19684165, 19709720, 19992980, 20349069, 20252320, 20396324, 20443680, 19972830, 20233763, 20380275, 20071338, 20005170, 20003994, 20116191, 19983811, 19994921, 20397306, 20483524, 20369078, 20260013, 20450209, 20390380, 20382257, 20672798, 20600651, 20219814, 20424399, 20433165, 20517814, 20114356, 20017786, 20034660, 19968412, 19738671, 20600995, 19931413, 20011737, 20021798, 20080768, 19922699, 20054987, 19981395, 19829370, 20010302, 19881784, 20042697, 19928208, 20046476, 19912153, 19910263, 19922044, 19964329, 19821282, 19891244, 19856928, 
6, 20283516, 20738809, 21009009, 21040255, 20945029, 21325179, 21197069, 21035257, 21202369, 21106311, 21380590, 21116768, 20973164, 21298922, 20775328, 20445735, 20482151, 21014019, 20524253, 20676453, 20622340, 20585424, 20672901, 20597140, 20630002, 20515071, 20849203, 20794204, 20627615, 20640007, 20727878, 20425454, 20840742, 21150498, 21025086, 20574000, 20596236, 21000963, 20764616, 20784627, 20694137, 20714799, 20668073, 20906284, 21161318, 20949021, 21382582, 21109644, 20848511, 20997970, 20796958, 20584854, 20760194, 20615482, 20692091, 20713367, 20630918, 20808391, 21117722, 20633000, 
7, 18727558, 19402520, 19456159, 19714655, 19671088, 19530693, 19596492, 19827321, 19788088, 19771243, 19117721, 19076473, 19455929, 19776581, 19856399, 19789303, 20083025, 19931662, 20108738, 19980040, 19858405, 20018894, 19867728, 19430167, 19706015, 19982288, 20017420, 20076001, 19845357, 19904494, 19732068, 19470546, 19940372, 19343537, 19378041, 19258338, 19870514, 19920736, 19220057, 19101827, 19247673, 19422561, 19659135, 19376134, 19430570, 19370353, 19594769, 19618886, 19383084, 19328098, 19268634, 19174099, 19269163, 19934494, 19334855, 19341291, 19354863, 19353806, 19184217, 18999776, 
8, 19735957, 19811100, 19759412, 19745835, 19630946, 19700033, 19694526, 19579684, 19922118, 19368370, 19608696, 20570967, 19978049, 19373169, 19589482, 19866457, 20128916, 20152257, 19982139, 19285383, 19414867, 20057710, 20136280, 20173411, 19679299, 20067973, 19960839, 19429952, 19859288, 19814370, 19825109, 19741729, 19978262, 19737278, 20102239, 19592427, 19882729, 19776723, 19735277, 19883235, 20147264, 20026568, 19974703, 20245848, 19935230, 20114908, 20232607, 20099480, 20086321, 20184914, 19870646, 20142703, 19988154, 20086934, 20136864, 20093824, 20282653, 20315788, 20176507, 19452229,
9, 20344588, 20072638, 19947284, 20047660, 20272744, 19998950, 20366770, 19972600, 20127770, 20097498, 20152077, 19893408, 20277507, 20060490, 20210936, 20116961, 20205023, 20331958, 20240122, 20162172, 20295107, 20192683, 20622201, 21110892, 20545216, 20918820, 20507211, 20166981, 20511672, 20779138, 21002887, 20884610, 20812382, 20802245, 21138802, 20769108, 20817505, 20871444, 20607606, 20760385, 20916931, 21316530, 20904606, 20222550, 20879090, 20740316, 20918377, 21066712, 21050580, 20816566, 20872050, 20959134, 20703511, 20923789, 20640730, 21066330, 20655607, 20670674, 21046950, 20692449, 
10, 19204939, 19126388, 19272422, 19600162, 19647367, 19585307, 19460864, 19900383, 19414899, 19470729, 19300247, 19588531, 19855255, 19549901, 20043510, 20296549, 19528802, 19832173, 19852111, 20291336, 19816836, 19893641, 19673833, 19822358, 19803027, 19758098, 19279084, 19848373, 19870262, 19758239, 19855374, 19725434, 20007402, 19768242, 19893053, 19593448, 19658408, 19910609, 19850898, 20187522, 20002411, 19912909, 19952124, 19290719, 20023243, 20018956, 20097122, 19740739, 19806420, 19435144, 19583549, 19588664, 19425119, 19893210, 19472276, 19555505, 19599562, 19480703, 19649414, 19497185,
11, 19469779, 19044857, 19076126, 19434809, 19714173, 19555738, 19516504, 19769786, 19597963, 19488365, 19763861, 19657399, 19397749, 19566394, 19394148, 19412116, 19710684, 20140812, 20074076, 19933576, 19597463, 19583743, 19502046, 19802440, 19539786, 19349131, 19485339, 19277287, 19155125, 19863882, 19712822, 20267526, 20288735, 20299051, 19687353, 19474613, 19369430, 19417295, 19645994, 19528418, 19602928, 20079368, 20190446, 19869709, 20160078, 20012248, 20222404, 20149171, 19658870, 20022999, 20366856, 20265833, 20433202, 20301803, 20332189, 19864798, 19326528, 19377823, 19576888, 19506214,
12, 19938893, 20312691, 20170860, 20473002, 20325636, 20196628, 20215109, 20664476, 20242169, 20647782, 20477352, 20582953, 20740048, 20436181, 20663916, 20755988, 21015142, 20855573, 20916294, 20833619, 20930297, 20528964, 20995523, 20393744, 20392459, 20183327, 20220376, 20114901, 20025923, 20292540, 20475575, 20531626, 20622804, 20792716, 20646691, 20615836, 20535945, 20621772, 20524408, 20961968, 20754383, 20633301, 20502797, 20761467, 20774050, 20557452, 20908893, 20785017, 20672151, 20887495, 20816400, 20781031, 20694576, 20566401, 20136311, 20477050, 19985618, 20919883, 20759274, 20533446, 
